open_date_year,application_for,ballots_in_favour,ballots_distributed,ballots_returned,poll_result
2017,Traffic Calming,12,69,31,Opposed
2017,Front Yard Parking,24,59,25,In Favour
2017,Front Yard Parking,33,90,35,In Favour
2017,Traffic Calming – Island,71,275,131,Opposed
2017,Traffic Calming – Island,81,396,222,Opposed
2017,Front Yard Parking,13,70,24,In Favour
2017,Appeal - Front Yard Parking,7,71,31,Opposed
2017,Appeal - Front Yard Parking,25,56,26,In Favour
2017,Front Yard Parking,27,74,28,In Favour
2017,Traffic Calming,31,77,52,Opposed
2017,Appeal - Front Yard Parking,61,150,70,In Favour
2017,Front Yard Parking,16,45,17,In Favour
2017,Traffic Calming,19,73,25,Opposed
2017,Traffic Calming,14,42,17,In Favour
2017,Business Improvement Area,43,129,53,In Favour
2017,Front Yard Parking,5,13,11,Opposed
2017,Front Yard Parking,38,100,46,In Favour
2017,Permit Parking,16,89,22,In Favour
2017,Boulevard Cafe,14,67,17,In Favour
2017,Appeal - Front Yard Parking,30,129,46,In Favour
2017,Appeal - Front Yard Parking,29,129,43,In Favour
2017,Traffic Calming,37,92,46,In Favour
2017,Traffic Calming,43,75,54,In Favour
2017,Traffic Calming,32,115,55,Opposed
2017,Traffic Calming,18,65,33,Opposed
2017,Boulevard Cafe,30,154,37,In Favour
2017,Front Yard Parking,69,113,71,In Favour
2017,Appeal - Front Yard Parking,6,60,19,Opposed
2017,Boulevard Cafe,17,92,23,In Favour
2017,Appeal - Front Yard Parking,17,74,22,In Favour
2017,Traffic Calming,56,125,67,In Favour
2017,Traffic Calming,34,107,58,Opposed
2017,Traffic Calming,29,73,52,Opposed
2017,Front Yard Parking,45,79,45,In Favour
2017,Traffic Calming,17,89,29,Opposed
2017,Traffic Calming,43,95,54,In Favour
2017,Front Yard Parking,8,50,29,Opposed
2017,Appeal - Front Yard Parking,34,83,35,In Favour
2017,Traffic Calming,34,49,34,In Favour
2017,Front Yard Parking,36,92,38,In Favour
2017,Front Yard Parking,9,13,9,In Favour
2017,Front Yard Parking,38,98,43,In Favour
2017,Appeal - Front Yard Parking,29,145,35,In Favour
2017,Boulevard Cafe,12,54,16,In Favour
2018,Appeal - Front Yard Parking,30,151,35,In Favour
2018,Appeal - Front Yard Parking,46,96,48,In Favour
2018,Front Yard Parking,30,46,30,In Favour
2018,Boulevard Cafe,11,105,19,Opposed
2018,Appeal - Front Yard Parking,24,81,25,In Favour
2018,Front Yard Parking,33,73,34,In Favour
2018,Front Yard Parking,26,68,29,In Favour
2018,Front Yard Parking,32,79,34,In Favour
2018,Front Yard Parking,19,30,19,In Favour
2018,Permit Parking,34,397,98,Opposed
2018,Front Yard Parking,33,64,33,In Favour
2018,Front Yard Parking,23,49,23,In Favour
2018,Front Yard Parking,21,56,21,In Favour
2018,Appeal - Front Yard Parking,21,56,36,In Favour
2018,Appeal - Front Yard Parking,24,73,24,In Favour
2018,Appeal - Front Yard Parking,37,62,42,In Favour
2018,Appeal - Front Yard Parking,42,151,42,In Favour
2018,Boulevard Cafe,26,51,31,In Favour
2018,Appeal - Front Yard Parking,12,60,26,Opposed
2018,Appeal - Front Yard Parking,23,185,46,Opposed
2018,Traffic Calming,43,82,47,In Favour
2018,Front Yard Parking,14,38,17,In Favour
2018,Permit Parking,23,234,56,Opposed
2018,Traffic Calming,31,69,36,In Favour
2018,Traffic Calming,96,192,117,In Favour
2018,Appeal - Front Yard Parking,31,62,35,In Favour
2018,Appeal - Front Yard Parking,31,62,34,In Favour
2018,Appeal - Front Yard Parking,11,11,11,In Favour
2018,Appeal - Front Yard Parking,43,76,51,In Favour
2018,Appeal - Front Yard Parking,42,106,54,In Favour
2018,Appeal - Front Yard Parking,13,13,13,In Favour
2018,Front Yard Parking,29,76,29,In Favour
2018,Front Yard Parking,33,107,37,In Favour
2018,Front Yard Parking,27,59,27,In Favour
2018,Front Yard Parking,24,46,29,In Favour
2018,Front Yard Parking,56,125,58,In Favour
2018,Front Yard Parking,39,71,39,In Favour
2018,Proposed Business Improvement Area,7,20,7,In Favour
2018,Appeal - Front Yard Parking,25,67,28,In Favour
2018,Front Yard Parking,14,78,31,Opposed
2018,Appeal - Front Yard Parking,23,106,46,Opposed
2018,Appeal - Front Yard Parking,13,84,43,Opposed
